Expert_ID,Domain,Onboarding_Days,Tasks_Assigned,Tasks_Completed,Quality_Score,Hourly_Cost,Completion Rate % (Tasks_Completed/Tasks_Assigned),Cost per Task (Hourly_Cost / Tasks_Completed),Productivity (Tasks_Completed / Onboarding_Days),Quality Index = Completion Rate × Quality_Score,Performance Tier,"Quality Index > 4.0 ? Top Performer
3.2–4.0 ? Solid Performer
<3.2 ? At Risk"
E001,Coding,2,44,38,4.4,48,86.36,1.26,19,3.8,Solid Performer,
E002,Healthcare,2,52,34,4.8,48,65.38,1.41,17,3.14,At Risk,
E003,Legal,5,50,47,4.75,55,94,1.17,9.4,4.47,Top Performer,
E004,Healthcare,3,50,41,4.42,53,82,1.29,13.67,3.62,Solid Performer,
E005,Finance,2,39,25,4.96,42,64.1,1.68,12.5,3.18,At Risk,
E006,Coding,2,49,40,3.57,44,81.63,1.1,20,2.91,At Risk,
E007,Education,3,36,23,4.91,36,63.89,1.57,7.67,3.14,At Risk,
E008,Healthcare,2,50,35,3.86,51,70,1.46,17.5,2.7,At Risk,
E009,Coding,2,37,24,4.86,45,64.86,1.88,12,3.15,At Risk,
E010,Healthcare,3,33,24,4.28,54,72.73,2.25,8,3.11,At Risk,
E011,Coding,3,47,41,4.91,45,87.23,1.1,13.67,4.28,Top Performer,
E012,Coding,2,37,33,4.62,46,89.19,1.39,16.5,4.12,Top Performer,
E013,Healthcare,2,42,29,4.7,45,69.05,1.55,14.5,3.25,Solid Performer,
E014,Finance,2,38,33,3.8,47,86.84,1.42,16.5,3.3,Solid Performer,
E015,Legal,6,46,39,4.69,54,84.78,1.38,6.5,3.98,Solid Performer,
E016,Healthcare,2,38,35,4.78,46,92.11,1.31,17.5,4.4,Top Performer,
E017,Finance,3,52,38,3.99,42,73.08,1.11,12.67,2.92,At Risk,
E018,Coding,3,51,46,4.21,46,90.2,1,15.33,3.8,Solid Performer,
E019,Legal,4,34,27,4.66,56,79.41,2.07,6.75,3.7,Solid Performer,
E020,Legal,4,44,34,3.54,52,77.27,1.53,8.5,2.74,At Risk,
E021,Finance,3,33,30,3.87,43,90.91,1.43,10,3.52,Solid Performer,
E022,Education,4,36,26,3.74,36,72.22,1.38,6.5,2.7,At Risk,
E023,Healthcare,2,54,36,4.18,48,66.67,1.33,18,2.79,At Risk,
E024,Legal,5,52,47,3.98,50,90.38,1.06,9.4,3.6,Solid Performer,
E025,Finance,2,54,48,4.79,46,88.89,0.96,24,4.26,Top Performer,
